sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded2688,was_mt_gan_win_before
18,18,20.394905033940507,18.610240875886223,21.455517475907705,6.258571624755859,5.554356575012207,5.249941825866699,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
19,19,21.064082150885508,19.086676411603058,21.006138489569878,6.927988529205322,5.44291353225708,5.415663719177246,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
20,20,21.97923655969375,18.266315468004898,22.587730781534265,6.254051208496094,5.689126491546631,5.8532633781433105,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,27.797122458460972,8.127616882324219,10.817054748535156,7.820071220397949,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
22,22,32.693467082501115,26.801086541907566,35.0001572445284,8.081520080566406,8.346701622009277,6.931274890899658,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
23,23,34.476953302920876,29.144574221491347,36.438693768989964,6.907674789428711,8.497876167297363,6.375072956085205,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
24,24,35.75728371567695,29.65320138308241,37.216316336985365,7.21915864944458,12.067601203918457,6.3263983726501465,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
25,25,36.58411526021696,30.123491475362258,38.18746096758409,11.371563911437988,10.501462936401367,6.246894836425781,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
26,26,35.02599363200026,30.779316467464,38.53241195218692,7.043282985687256,11.28821849822998,6.520733833312988,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
27,27,36.89696946573002,30.945378681968467,40.1456833282029,6.4783101081848145,19.968429565429688,6.24064826965332,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
28,28,38.33189346230645,30.74946233279523,40.96085141271673,7.210402011871338,14.947399139404297,7.349212169647217,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,41.76440300219963,6.963974952697754,12.864243507385254,6.563238620758057,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
30,30,39.94080457344863,30.82310921065586,41.534116484415506,8.127463340759277,14.847400665283203,6.739446640014648,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
31,31,39.104318483733294,31.3053599336416,41.666720738074815,6.818642616271973,16.23410415649414,6.706269264221191,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
32,32,38.55925876668554,30.547158977309156,40.5294678265745,7.461033821105957,19.229158401489258,6.69329309463501,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
33,33,38.39305861348763,30.400139282712473,39.87602178966761,6.76971960067749,20.00556755065918,6.507835865020752,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
34,34,37.356416104450325,28.907547601520903,39.17444132515953,6.323113918304443,19.445999145507812,6.783775806427002,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,38.4306414002763,6.2719197273254395,14.435929298400879,6.240119457244873,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
36,36,35.61901723291445,27.743736665197815,38.118519409803575,6.097905158996582,9.26945686340332,5.944934368133545,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
37,37,33.456602216246914,27.16364872656993,36.25876632850707,6.489102840423584,9.59257698059082,6.346960067749023,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
38,38,29.159912858159764,23.780350003542182,32.85022922525019,6.054014682769775,7.416414260864258,6.3289289474487305,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,27.985642067254272,5.873856067657471,8.546488761901855,5.334965705871582,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
