sample_idx,training_size,delta_c_minus_uv_ssim_speed,delta_c_minus_uv_ssim_uv_mean,c_speed_ssim_gt_uv,c_uv_ssim_gt_uv
83,1344,0.0012433863241555487,-0.005004026008865958,True,False
84,1344,0.0007973531845231197,-0.0038041809100359814,True,False
85,1344,0.0017606241625233165,-0.002933537943983988,True,False
86,1344,0.001193428790538853,-0.003739908055061081,True,False
87,1344,0.0008130612895854705,-0.003987525110046408,True,False
88,1344,-0.00127464434050506,-0.00426036164556165,False,False
89,1344,-0.0025585314584313235,-0.0031130966928001325,False,False
90,1344,-0.003975906416653463,-0.0060714638372387775,False,False
91,1344,-0.004159453393596468,-0.0038063246810225992,False,False
92,1344,-0.004016309162821807,-0.004275805445808745,False,False
93,1344,-0.0013297825029090493,-0.0055135037124720565,False,False
94,1344,-0.0007313933293103814,-0.005056585329961227,False,False
95,1344,-0.00011400335060363087,-0.005280341971972802,False,False
96,1344,0.000856554425403111,-0.005100854892055695,True,False
97,1344,0.0022918901061271812,-0.004216639474997175,True,False
98,1344,0.0029747898470173784,-0.005086727592182205,True,False
99,1344,0.0008444485155043591,-0.005187430773226254,True,False
100,1344,0.0006590714113776652,-0.004091738812966095,True,False
101,1344,0.0007306798451134355,-0.004445503356484082,True,False
102,1344,0.0002185012495272698,-0.003003412095243907,True,False
103,1344,-0.0004947460514883595,-0.0017680111326500159,False,False
104,1344,0.0032821447310230623,0.00023294304029664037,True,True
105,1344,-0.0005642670503505087,-0.001246475797210378,False,False
106,1344,-0.0007994095030815496,-0.003189860678894596,False,False
107,1344,-0.00048563226457598585,-0.004179953616671561,False,False
108,1344,-0.0008014586899615095,-0.004529434708267943,False,False
109,1344,-0.0010145802039376317,-0.001293708979133168,False,False
110,1344,-0.0009116747557030846,-0.005655190125598453,False,False
111,1344,-0.00040075517939852645,-0.005802687967124132,False,False
112,1344,-0.0011797881221006223,-0.006678266377778241,False,False
113,1344,-0.001689957959743249,-0.007737676060495913,False,False
114,1344,-0.002157854827932848,-0.008117138838517834,False,False
115,1344,-0.0016012478945677255,-0.007970145756837521,False,False
116,1344,-0.002264959264651867,-0.008510201974588405,False,False
117,1344,-0.002014395365531385,-0.008239723353705264,False,False
118,1344,-0.0021758082141274393,-0.00927415808974641,False,False
119,1344,-0.001999102259186869,-0.008981657206360683,False,False
120,1344,-0.002169701668535473,-0.00933742920638192,False,False
121,1344,-0.0021656171805514157,-0.0092328809530976,False,False
122,1344,-0.002128470457311349,-0.009891982903726504,False,False
123,1344,-0.0010891564229976725,-0.008751750104597722,False,False
124,1344,-0.0005911260887524472,-0.006846953955589319,False,False
125,1344,-0.0001853088552808968,-0.008050228237715618,False,False
126,1344,-0.00012616610917326465,-0.008095202365670962,False,False
127,1344,-0.0013363387409282002,-0.007644547874974927,False,False
128,1344,-0.0011158132955566558,-0.0077976931347853995,False,False
129,1344,-0.0014380664956653577,-0.005614615668241951,False,False
130,1344,0.006604071644372156,-0.0074117523875882885,True,False
131,1344,0.00027846684445542724,-0.006578352614614702,True,False
132,1344,-0.001105242744560364,-0.0070912806216385516,False,False
133,1344,-0.0011085504131154167,-0.006758564018820579,False,False
134,1344,-0.0006404965040883726,-0.006785033343901237,False,False
135,1344,-0.0017916120057037688,-0.00708315134260773,False,False
136,1344,-0.0010491543693026406,-0.00690835042527882,False,False
137,1344,-0.0010714779569651611,-0.007181455009092064,False,False
138,1344,-0.001813208850445558,-0.007451130870957612,False,False
139,1344,0.002495821478622595,-0.005996997534601811,True,False
