sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
7,candidateUV_1344,1344,candidateUV,0.060757309084628064,0.06789559338673223,True,True
8,candidateUV_1344,1344,candidateUV,0.06437491821379393,0.0708532141229854,True,True
9,candidateUV_1344,1344,candidateUV,0.06218716504811861,0.07012295881121888,True,True
10,candidateUV_1344,1344,candidateUV,0.06263499460016386,0.0724286353602609,True,True
11,candidateUV_1344,1344,candidateUV,0.07029304577931117,0.07947268714807398,True,True
12,candidateUV_1344,1344,candidateUV,0.07042073600212784,0.07440764812082368,True,True
13,candidateUV_1344,1344,candidateUV,0.06421015560210264,0.08027448017382677,True,True
14,candidateUV_1344,1344,candidateUV,0.07064797547703794,0.08399758775781097,True,True
15,candidateUV_1344,1344,candidateUV,0.068800195025992,0.08626493422788806,True,True
16,candidateUV_1344,1344,candidateUV,0.0673625047670392,0.0825906925777804,True,True
17,candidateUV_1344,1344,candidateUV,0.06644510323456765,0.07786443065422866,True,True
18,candidateUV_1344,1344,candidateUV,0.06876543882065489,0.08057182469367552,True,True
19,candidateUV_1344,1344,candidateUV,0.08069798461983624,0.08810910345237466,True,True
20,candidateUV_1344,1344,candidateUV,0.07617507528128509,0.08419509316998108,True,True
21,candidateUV_1344,1344,candidateUV,0.08087326167097852,0.08947167907369424,True,True
22,candidateUV_1344,1344,candidateUV,0.08046135102357599,0.09339759327231079,True,True
23,candidateUV_1344,1344,candidateUV,0.0718839242997642,0.08086779359651874,True,True
24,candidateUV_1344,1344,candidateUV,0.04877969565593909,0.07716888470305183,True,True
25,candidateUV_1344,1344,candidateUV,0.02327140517936055,0.06323104920689548,True,True
26,candidateUV_1344,1344,candidateUV,0.05568879787561398,0.07494708109406978,True,True
27,candidateUV_1344,1344,candidateUV,0.06831696233187734,0.08109798896706322,True,True
28,candidateUV_1344,1344,candidateUV,0.07515631374306375,0.07421054097247137,True,True
29,candidateUV_1344,1344,candidateUV,0.058573265068690095,0.06577383445775675,True,True
30,candidateUV_1344,1344,candidateUV,0.04529269295252225,0.05891546730684305,True,True
31,candidateUV_1344,1344,candidateUV,0.05820046155146619,0.05862936971361954,True,True
32,candidateUV_1344,1344,candidateUV,0.04469391345686102,0.05250223913998653,True,True
33,candidateUV_1344,1344,candidateUV,0.0448330651999328,0.0471959751596267,True,True
34,candidateUV_1344,1344,candidateUV,0.04801591407858308,0.05195271384179656,True,True
35,candidateUV_1344,1344,candidateUV,0.05867123802557195,0.05505141449621609,True,True
