sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_expanded2688,pd_winner_before,pd_winner_after_candidateB_expanded2688,mt_winner_before,mt_winner_after_candidateB_expanded2688,was_mt_gan_win_before
26,26,35.02599363200026,30.779316467464,33.49451936766618,7.043282985687256,11.28821849822998,7.124111175537109,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,33.48539228235178,6.4783101081848145,19.968429565429688,6.809812068939209,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,33.1563740815121,7.210402011871338,14.947399139404297,8.065983772277832,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,33.35015832040427,6.963974952697754,12.864243507385254,6.99596643447876,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,32.13602128026209,8.127463340759277,14.847400665283203,7.677793502807617,gan,gan,cnn,candidateB_expanded2688,0
31,31,39.104318483733294,31.3053599336416,31.91556852706621,6.818642616271973,16.23410415649414,7.541640758514404,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,31.53301147692555,7.461033821105957,19.229158401489258,7.516430377960205,gan,gan,cnn,cnn,0
33,33,38.39305861348763,30.400139282712473,31.06695442023493,6.76971960067749,20.00556755065918,7.535371780395508,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,30.611824236284896,6.323113918304443,19.445999145507812,6.973734378814697,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,29.77063940935311,6.2719197273254395,14.435929298400879,7.069982051849365,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,29.6512775011753,6.097905158996582,9.26945686340332,6.1503496170043945,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,28.364440338857225,6.489102840423584,9.59257698059082,6.40215539932251,gan,gan,cnn,candidateB_expanded2688,0
38,38,29.159912858159764,23.780350003542182,24.910772200369106,6.054014682769775,7.416414260864258,7.488003253936768,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.874294469889097,5.873856067657471,8.546488761901855,6.791373252868652,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,20.981356007587515,5.6310811042785645,8.988521575927734,7.0698323249816895,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,18.858041673040525,5.389686584472656,8.901470184326172,6.286910533905029,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,16.73840566448791,5.757840156555176,7.383090972900391,5.998338222503662,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.060580904290077,5.7682366371154785,7.053122520446777,6.360998153686523,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,15.408172539596501,6.20600700378418,7.041088581085205,6.342366695404053,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,15.88828761959271,6.566225528717041,6.773196697235107,6.159806728363037,gan,gan,cnn,candidateB_expanded2688,0
46,46,20.678325640697178,16.27228595124608,15.120040127603037,6.243154048919678,6.650214672088623,6.035902976989746,gan,candidateB_expanded2688,cnn,candidateB_expanded2688,0
47,47,22.201753073772625,13.108895112859523,15.496479050346421,6.789880752563477,7.498397350311279,7.19523811340332,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,16.242101901966524,7.081502437591553,6.682991981506348,7.181704044342041,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,16.408410081414104,6.3195295333862305,7.889017105102539,6.516399383544922,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,15.925832908769928,6.3856120109558105,6.713321685791016,6.243317127227783,gan,gan,cnn,candidateB_expanded2688,0
51,51,21.75849079768097,16.03686368056312,16.035280811416353,5.902731418609619,7.996896266937256,6.209292411804199,gan,candidateB_expanded2688,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,16.516761746226614,5.69123649597168,7.0050048828125,6.3014068603515625,gan,candidateB_expanded2688,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,17.046797921702055,5.261850833892822,7.919146537780762,6.1021599769592285,gan,candidateB_expanded2688,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,17.576800927650456,5.500187397003174,9.581897735595703,5.902393817901611,gan,candidateB_expanded2688,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,18.48354181098124,5.2683796882629395,7.846588134765625,5.861842155456543,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,19.03622573753464,5.488292217254639,7.826909065246582,6.345739841461182,gan,gan,cnn,cnn,0
