sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
69,69,24.168055816700438,16.112222498232782,21.06386053806369,5.17050838470459,6.406604290008545,4.529294967651367,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
70,70,24.673819113934496,19.882401938586153,21.517350181693047,5.396136283874512,5.861793041229248,4.764589309692383,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
71,71,25.505047306429027,18.465741214218955,22.02871277142992,5.1588335037231445,7.186563014984131,4.522869110107422,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
72,72,26.514111621573456,19.679320844931677,22.962343214594167,4.796044826507568,5.719583988189697,4.63967752456665,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
73,73,27.001473804134946,19.399004976672177,24.2672606797247,4.9851861000061035,5.75114631652832,4.891199588775635,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
74,74,28.28963162272453,20.10959212403172,25.312039465072864,4.782100200653076,5.644299030303955,4.940340995788574,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,25.596245046659607,5.201173305511475,5.680557727813721,5.149637699127197,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
76,76,30.056769521251926,20.225713244111034,26.01558776254825,5.207019329071045,6.450347900390625,5.196314811706543,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
77,77,29.944664675564518,20.353338072506904,25.873035184056704,6.132026672363281,6.000014781951904,5.438807010650635,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
78,78,30.300511724579902,19.95492094933438,26.150961071716168,5.8028388023376465,7.092807292938232,5.499438285827637,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
79,79,30.148051358309164,20.321240211337894,26.71027482087806,6.856454849243164,6.467032432556152,5.839855670928955,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
80,80,30.086252753371088,20.744918439924255,26.252870449403837,6.982686519622803,6.176682472229004,4.9674072265625,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
81,81,29.68907403762892,20.982889067881906,26.014239036100673,6.426537990570068,7.567525863647461,5.58308219909668,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
