sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
116,116,25.095451409249726,17.129081493158413,24.161012808782722,5.35050630569458,7.636551856994629,5.470494747161865,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,25.922014791746832,5.260716915130615,8.683184623718262,5.986312389373779,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,27.04113886422974,6.84329080581665,9.465571403503418,6.682653427124023,gan,gan,cnn,candidateB,0
119,119,27.187847892928154,20.557132674744736,26.635873077947835,5.218785285949707,6.129123687744141,5.404505252838135,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,25.946991829738376,4.889072418212891,7.93386173248291,5.054945468902588,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,26.85820626384451,5.373913288116455,7.535200595855713,5.098669052124023,gan,gan,cnn,candidateB,0
122,122,28.017758663142306,22.491589595860475,26.035670829844147,5.264456272125244,7.450175762176514,5.8068766593933105,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,26.224090474721155,6.196282386779785,8.431406021118164,5.60638427734375,gan,gan,cnn,candidateB,0
124,124,28.184626374879375,22.119830159019614,26.39262119076047,6.166434288024902,6.818744659423828,5.939869403839111,gan,gan,cnn,candidateB,0
125,125,28.43981263564626,21.313574573250694,26.165475589282842,5.748098373413086,10.086677551269531,5.00363302230835,gan,gan,cnn,candidateB,0
126,126,28.023492407781937,22.88972837862729,25.92533182983275,4.992148399353027,8.052214622497559,4.439967632293701,gan,gan,cnn,candidateB,0
127,127,30.000730217921266,24.85609607980766,27.6808032147066,5.114649772644043,13.074076652526855,4.685281753540039,gan,gan,cnn,candidateB,0
128,128,28.391923421353447,23.315252316365218,27.039220142541573,5.476268768310547,7.28298807144165,5.34368896484375,gan,gan,cnn,candidateB,0
129,129,29.465245102227872,24.209883048645104,28.265636327789235,5.373117923736572,9.33877944946289,5.360037803649902,gan,gan,cnn,candidateB,0
130,130,30.27324308013254,23.783031491875988,28.536461941148932,5.609683513641357,11.313863754272461,5.01004695892334,gan,gan,cnn,candidateB,0
131,131,33.0539968727652,25.23355611194131,31.127287280798043,6.2030792236328125,12.011610984802246,6.025422096252441,gan,gan,cnn,candidateB,0
132,132,33.926806040190684,25.90821112354989,32.393995362580824,6.331444263458252,12.388164520263672,6.212296962738037,gan,gan,cnn,candidateB,0
133,133,34.52507377701583,25.596877045000497,33.0885833667341,6.299666404724121,7.647167682647705,6.215855121612549,gan,gan,cnn,candidateB,0
134,134,32.518921837890055,23.04058254540847,30.744688575196854,7.141453742980957,13.276667594909668,6.65745735168457,gan,gan,cnn,candidateB,0
135,135,29.944179549584543,20.502693507156053,28.37834694044088,6.298990726470947,11.993122100830078,5.568185329437256,gan,gan,cnn,candidateB,0
136,136,27.83279512215704,19.71188765946126,26.72365747049042,6.232182025909424,6.450465202331543,5.74232292175293,gan,gan,cnn,candidateB,0
137,137,26.69652879915387,18.35521341147029,25.691343896871814,5.208233833312988,9.66958236694336,4.889462947845459,gan,gan,cnn,candidateB,0
138,138,26.265900126493325,18.5898403985513,24.655507522510312,5.562473773956299,8.217479705810547,4.937742233276367,gan,gan,cnn,candidateB,0
139,139,25.72843674372112,17.55339321269266,23.872540620289385,5.6482439041137695,9.790724754333496,5.078011989593506,gan,gan,cnn,candidateB,0
140,140,26.928885115678263,17.632487734588345,25.451683367431816,5.719569206237793,11.421890258789062,5.313171863555908,gan,gan,cnn,candidateB,0
141,141,30.122683212798776,22.35126448334632,29.52393651759466,6.186624050140381,8.889102935791016,5.913915634155273,gan,gan,cnn,candidateB,0
142,142,31.864668972443802,25.40867751345393,31.68344959723087,7.186554908752441,8.55953311920166,6.142935752868652,gan,gan,cnn,candidateB,0
