sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
133,133,34.52507377701583,25.596877045000497,37.31166425778055,6.299666404724121,7.647167682647705,7.570436477661133,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,34.96456582580879,7.141453742980957,13.276667594909668,7.773950099945068,gan,gan,cnn,cnn,0
135,135,29.944179549584543,20.502693507156053,32.412012688760385,6.298990726470947,11.993122100830078,6.4634270668029785,gan,gan,cnn,cnn,0
136,136,27.83279512215704,19.71188765946126,30.101911353936384,6.232182025909424,6.450465202331543,6.737174987792969,gan,gan,cnn,cnn,0
137,137,26.69652879915387,18.35521341147029,28.832591993567707,5.208233833312988,9.66958236694336,5.386972427368164,gan,gan,cnn,cnn,0
138,138,26.265900126493325,18.5898403985513,27.825346005601514,5.562473773956299,8.217479705810547,5.36096715927124,gan,gan,cnn,candidateUV,0
139,139,25.72843674372112,17.55339321269266,26.81752792755744,5.6482439041137695,9.790724754333496,5.285830497741699,gan,gan,cnn,candidateUV,0
140,140,26.928885115678263,17.632487734588345,28.511654870946426,5.719569206237793,11.421890258789062,5.478427886962891,gan,gan,cnn,candidateUV,0
141,141,30.122683212798776,22.35126448334632,32.911462507881645,6.186624050140381,8.889102935791016,6.399046421051025,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,35.99950326722456,7.186554908752441,8.55953311920166,7.31037712097168,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,35.08851089582529,5.864097595214844,9.649337768554688,7.203146934509277,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,34.798732580909174,5.560759544372559,9.771649360656738,5.911022186279297,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,33.9880366502438,5.902344226837158,8.558032035827637,6.491447925567627,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,32.96545844184015,5.959416389465332,7.056334018707275,6.771969795227051,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,31.19958256930608,5.6108717918396,6.8347039222717285,6.560095310211182,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,30.27176059728684,5.0148024559021,8.882506370544434,5.106742858886719,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,29.389150897686456,5.752551078796387,8.038224220275879,6.344289779663086,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,27.682227491858036,5.291886329650879,7.924254417419434,5.550861358642578,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,27.56087524986304,5.580901145935059,7.460690975189209,6.693471908569336,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,27.308102010557008,5.931854248046875,8.478921890258789,6.44833517074585,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,27.274238334651415,6.290019989013672,6.548172950744629,6.664069652557373,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,26.67104997965496,5.889771461486816,5.736759185791016,6.174589157104492,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,27.036599567196117,6.413660526275635,6.612644195556641,6.825850963592529,gan,gan,cnn,cnn,0
156,156,25.16401321091786,17.879759557761357,27.453692803018114,5.162914276123047,9.264598846435547,6.126978397369385,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,28.918929409046314,4.567626476287842,8.282842636108398,5.910295009613037,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,30.701487889752606,5.708489894866943,8.312358856201172,6.331770420074463,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,27.82743885961076,5.012121677398682,10.700226783752441,5.130762100219727,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,25.347627277728915,5.1832075119018555,13.9108247756958,5.415543079376221,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,23.76399550500467,5.7158894538879395,11.7100830078125,4.515773773193359,gan,gan,cnn,candidateUV,0
162,162,18.27105324592802,19.457879947992573,23.43053049827799,4.5405659675598145,9.695740699768066,4.461472034454346,cnn,cnn,cnn,candidateUV,0
163,163,19.37037318892002,20.44637029980189,24.583524586378903,5.698920726776123,6.788956165313721,4.848914623260498,cnn,cnn,cnn,candidateUV,0
164,164,21.46365087746109,18.82963529736202,26.569255267187962,5.2430009841918945,10.968896865844727,5.914468765258789,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,28.35124535317172,5.059387683868408,11.26945972442627,5.622745037078857,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,29.68022634138268,6.106489181518555,10.583955764770508,5.4540510177612305,gan,gan,cnn,candidateUV,0
167,167,23.479887971191566,21.661112948338108,29.53674108211023,5.800627708435059,7.244186878204346,5.389171123504639,gan,gan,cnn,candidateUV,0
