sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_expanded2688,was_mt_gan_win_before
53,53,21.92458068590406,18.078201501754,16.93371030644049,5.261850833892822,7.919146537780762,5.46722936630249,gan,candidateB_factorial_grad_expanded2688,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,17.47361472930148,5.500187397003174,9.581897735595703,6.587266445159912,gan,candidateB_factorial_grad_expanded2688,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,18.534751841821777,5.2683796882629395,7.846588134765625,5.860983848571777,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,18.38961683430132,5.488292217254639,7.826909065246582,5.585474014282227,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,18.349053295909208,5.463809013366699,6.805661201477051,6.075923442840576,gan,candidateB_factorial_grad_expanded2688,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,19.227112238931934,6.08959436416626,8.349846839904785,5.622013568878174,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
59,59,25.864386079507888,18.65101850934172,19.38660223604484,5.546851634979248,7.89148473739624,5.897014141082764,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,19.458551726322142,5.321651458740234,8.357301712036133,5.818858623504639,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,19.70833186656188,5.346891403198242,8.12722110748291,6.042370796203613,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,20.752071085980457,6.720277786254883,6.650205135345459,6.450446128845215,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
63,63,28.524583670890912,18.199751597271156,21.105616355140896,7.660599708557129,7.5776286125183105,6.89583158493042,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
64,64,24.7100597287657,16.701032359601633,18.701211268434285,5.944510459899902,7.137726306915283,5.858945369720459,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
65,65,22.148883751156426,16.23947552161985,17.097881700705223,5.820770263671875,5.576780319213867,5.030378341674805,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
66,66,20.981857591368968,15.979342195015368,15.704836661531736,5.701828956604004,6.4086198806762695,4.895580291748047,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
67,67,20.679919922717943,14.773695042869097,15.28732527732505,5.030301094055176,6.6433844566345215,4.958195686340332,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
68,68,21.77134223692748,15.500930745161975,15.999816186780613,6.074338436126709,5.670867919921875,4.913999080657959,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
69,69,24.168055816700438,16.112222498232782,18.422030268152067,5.17050838470459,6.406604290008545,5.022355079650879,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
