sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
135,135,29.944179549584543,20.502693507156053,30.54776605366109,6.298990726470947,11.993122100830078,5.5210371017456055,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
136,136,27.83279512215704,19.71188765946126,28.453315407297435,6.232182025909424,6.450465202331543,5.8622517585754395,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
137,137,26.69652879915387,18.35521341147029,27.3350454143813,5.208233833312988,9.66958236694336,4.719279766082764,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
138,138,26.265900126493325,18.5898403985513,26.544726033529933,5.562473773956299,8.217479705810547,4.565525531768799,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
139,139,25.72843674372112,17.55339321269266,25.614908574309357,5.6482439041137695,9.790724754333496,4.832144260406494,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
140,140,26.928885115678263,17.632487734588345,27.39612372530735,5.719569206237793,11.421890258789062,5.1249189376831055,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
141,141,30.122683212798776,22.35126448334632,31.70044249985741,6.186624050140381,8.889102935791016,6.487087726593018,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,35.39547498695373,7.186554908752441,8.55953311920166,6.215576648712158,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
143,143,31.729557469133276,25.608920781987035,33.90462556639936,5.864097595214844,9.649337768554688,5.669602394104004,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
144,144,31.838603860361527,24.790495069985838,33.66597497533264,5.560759544372559,9.771649360656738,5.627719879150391,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,33.12372969743029,5.902344226837158,8.558032035827637,5.672878265380859,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
146,146,29.28670842660694,23.86618294113101,32.37874320869432,5.959416389465332,7.056334018707275,6.706195831298828,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,30.451278719691075,5.6108717918396,6.8347039222717285,6.5388922691345215,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,29.244460480450815,5.0148024559021,8.882506370544434,5.400441646575928,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,28.359394747781373,5.752551078796387,8.038224220275879,6.1737213134765625,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,26.869351789241932,5.291886329650879,7.924254417419434,6.281157970428467,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,26.00381302377972,5.580901145935059,7.460690975189209,6.273515224456787,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,25.829221769768626,5.931854248046875,8.478921890258789,6.180697917938232,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,25.29380445744217,6.290019989013672,6.548172950744629,6.508519649505615,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,24.552956081716587,5.889771461486816,5.736759185791016,6.153530597686768,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,24.943740793603137,6.413660526275635,6.612644195556641,6.420996189117432,gan,gan,cnn,cnn,0
156,156,25.16401321091786,17.879759557761357,25.968071816393543,5.162914276123047,9.264598846435547,5.214898109436035,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,27.14230457121384,4.567626476287842,8.282842636108398,5.3271589279174805,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,29.48011739034607,5.708489894866943,8.312358856201172,5.8183135986328125,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,26.52702035121543,5.012121677398682,10.700226783752441,5.019954681396484,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,24.357324584269463,5.1832075119018555,13.9108247756958,4.977344989776611,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
161,161,19.540402210515502,19.232825594053608,23.104424505811764,5.7158894538879395,11.7100830078125,4.545778751373291,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
162,162,18.27105324592802,19.457879947992573,23.0260958754218,4.5405659675598145,9.695740699768066,4.450969219207764,cnn,cnn,cnn,candidateB_factorial_speed_levelset_expanded2688,0
163,163,19.37037318892002,20.44637029980189,24.192174009707053,5.698920726776123,6.788956165313721,5.102394104003906,cnn,cnn,cnn,candidateB_factorial_speed_levelset_expanded2688,0
164,164,21.46365087746109,18.82963529736202,25.870580061810042,5.2430009841918945,10.968896865844727,5.045398235321045,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
165,165,22.937888715207535,20.548745956267595,27.4503573513266,5.059387683868408,11.26945972442627,5.217031478881836,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,28.624546006723165,6.106489181518555,10.583955764770508,5.452273845672607,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
167,167,23.479887971191566,21.661112948338108,28.365474396979938,5.800627708435059,7.244186878204346,5.035548210144043,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
