metric_a,metric_b,n_methods_available,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
wpd_w1,psd_log_l2,19,0.4893719680116605,0.3855821463302258,0.6624245963796136,-0.037732440048753035,0.6855264158464032,18,1,0.5412125875046189,0.40719575219805526,0.6722379416990196,-0.09758758054474315,0.70222361700943,18,1,within_method_across_samples
wpd_w1,psd_slope_abs_delta,19,0.1504497421362312,0.011228622469257585,0.238715534842233,-0.4703623624686457,0.35585040176306526,14,5,0.18304473048830489,0.08899276679101645,0.2454722845095945,-0.4515288948729759,0.3581881039273946,18,1,within_method_across_samples
wpd_w1,exceed_abs_t5,19,0.2892556857901841,-0.17437736040579638,0.33446492065251965,-0.38992451623809726,0.43421627856672945,11,8,0.2900733509960526,-0.1177956604030147,0.3204638503209349,-0.4629937202579945,0.4257874782978422,12,7,within_method_across_samples
wpd_w1,exceed_abs_t10,19,0.00408033754705009,-0.3682485641347484,0.3565887401867429,-0.45688537975457955,0.9074064222607825,10,9,-0.030170428374021188,-0.3991494926331211,0.37797181274264646,-0.4861308659097696,0.867319460824758,9,10,within_method_across_samples
wpd_w1,exceed_abs_t15,19,0.7986576477230759,0.6808415250480738,0.8369478756369547,0.6121534666743831,0.9443723779558344,19,0,0.8416722187529959,0.7279173025459649,0.8564094484802918,0.656491737352201,0.8884350203451727,19,0,within_method_across_samples
wpd_w1,exceed_abs_p90,19,0.43688429174064,0.390305261808622,0.5033898122939346,0.3175396192646546,0.8074668691160496,19,0,0.4688981350031847,0.427276112966494,0.5929656339278204,0.23263853958955782,0.7825045445210292,19,0,within_method_across_samples
wpd_w1,comp_curve_l1,19,0.26328622116521583,0.050988520011921834,0.3548524909833041,-0.12043436618908311,0.462424457354195,15,4,0.31946800470334036,0.12427152732510419,0.43108979041899503,-0.15701561628424138,0.5151897853504385,18,1,within_method_across_samples
wpd_w1,comp_abs_t5,19,-0.48177853628917755,-0.5335328909580279,-0.4252242395374993,-0.5872109930866433,-0.3839404706597749,0,19,-0.5587114555584954,-0.5877497909234687,-0.5278369323380618,-0.6461802490714003,-0.422937956475598,0,19,within_method_across_samples
wpd_w1,comp_abs_t10,19,0.04046869524621467,0.020884003126550307,0.06076949947148624,-0.23260274649003734,0.11688176542322985,18,1,-0.003180227671437488,-0.028571559708086086,0.03380322039482607,-0.1850587989119075,0.08174941400696993,9,10,within_method_across_samples
wpd_w1,comp_abs_t15,19,0.7634108668095058,0.5956392711743468,0.8848355681136122,0.2998516120290216,0.9235959754002457,19,0,0.8010860647331346,0.7103656158526166,0.9141719697783203,0.34846570356958473,0.9372277245980466,19,0,within_method_across_samples
wpd_w1,pd_distance,18,0.7343859115725744,0.6419763226113169,0.8471502734132379,0.4207279985808439,0.8720342674044594,18,0,0.7172809916937046,0.6723138676155719,0.8053050703327074,0.3876751990524446,0.8654162511831789,18,0,within_method_across_samples
wpd_w1,mt_distance,18,0.2928479924113385,0.1930534758885916,0.35741893336873726,-0.029403044345037252,0.5315019361920733,17,1,0.18764457559943512,0.10450063524683516,0.27068032152094795,-0.10223424663774733,0.30771002373950324,16,2,within_method_across_samples
wpd_bias_abs,grad_mae,19,0.660096172632153,0.5460367683824328,0.852252321355903,0.23902381959819277,0.8932137560875579,19,0,0.7259833671625473,0.530261539473884,0.8761243362809461,0.1487692408926863,0.9129256280338731,19,0,within_method_across_samples
wpd_bias_abs,grad_w1,19,0.6354987496786282,0.3672147143068734,0.8038308495232486,0.12793184064564095,0.8400492623322027,19,0,0.6099736283983175,0.4061138078871842,0.8217955466919078,0.09901751863981251,0.8773897682234854,19,0,within_method_across_samples
wpd_bias_abs,grad_kurtosis_abs_delta,19,-0.05911918216832972,-0.1625923865567236,-0.03142216080526172,-0.3130021855434093,0.23024184672234554,3,16,-0.08168110102702457,-0.1570059374066744,0.0034179316767985585,-0.29200854419647604,0.15070029003700122,6,13,within_method_across_samples
wpd_bias_abs,psd_log_l2,19,0.4641741399265489,0.1915206105355027,0.6570969468174046,-0.10296037594223352,0.6973435201362715,18,1,0.5783682002014567,0.2813358911930999,0.6727504416357479,-0.20736380156002449,0.7260263918485936,18,1,within_method_across_samples
wpd_bias_abs,psd_slope_abs_delta,19,0.17371299486695102,0.017409757317080277,0.2394096883098617,-0.472565673781388,0.3596076675230133,14,5,0.1970378769089041,0.08165705782011631,0.2927399638592637,-0.4717555590425236,0.3637889057050734,15,4,within_method_across_samples
wpd_bias_abs,exceed_abs_t5,19,0.26946148207458676,-0.24671208937611389,0.3322013204643247,-0.4203696480411056,0.4357523911025944,10,9,0.2780564193907514,-0.17558548614523647,0.32870416235613187,-0.4820601401640477,0.46305697986950867,11,8,within_method_across_samples
wpd_bias_abs,exceed_abs_t10,19,0.042335954051309604,-0.3468732137811273,0.3237909864001838,-0.4256075092813948,0.8790367162603405,10,9,0.040400180197508614,-0.36336032570902643,0.3586479146982021,-0.45374086990853457,0.8472294633050045,10,9,within_method_across_samples
wpd_bias_abs,exceed_abs_t15,19,0.7737102802031496,0.6907683136133789,0.8025196017621063,0.37306172572503626,0.9458149931066091,19,0,0.8133201981416217,0.7088266760912263,0.8381960750074282,0.4680585592030504,0.8785235952440006,19,0,within_method_across_samples
wpd_bias_abs,exceed_abs_p90,19,0.4123052604299716,0.34993053764223614,0.5501461328126602,0.2422492150054352,0.8333923438060978,19,0,0.49774246370258696,0.4360633374800864,0.6415868148071406,0.10627351755215518,0.792235771573239,19,0,within_method_across_samples
wpd_bias_abs,comp_curve_l1,19,0.23911903202470391,0.001715776812033918,0.3328574704123697,-0.30862198717488276,0.45994619828584377,14,5,0.26599007257010754,0.13056463852160108,0.4213306790276212,-0.355335479987608,0.5412832891832696,17,2,within_method_across_samples
wpd_bias_abs,comp_abs_t5,19,-0.4127938844224566,-0.4504819185811239,-0.3899792380140805,-0.552145759718415,-0.27048818075507614,0,19,-0.4804406557374786,-0.5148947197079399,-0.4412890896839389,-0.6036457676123926,-0.2956168617863996,0,19,within_method_across_samples
