method_id,metric_a,metric_b,n_samples,status,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
uv_crit,exceed_abs_p90,comp_curve_l1,168,available,0.06275543274726668,-0.04553910049329154,0.06275543274726668,-0.04553910049329154,within_method_across_samples
uv_crit,exceed_abs_p90,comp_abs_t5,168,available,-0.03551979608169721,-0.005905810797033599,-0.03551979608169721,-0.005905810797033599,within_method_across_samples
uv_crit,exceed_abs_p90,comp_abs_t10,168,available,-0.06679938730456707,-0.1246573661999045,-0.06679938730456707,-0.1246573661999045,within_method_across_samples
uv_crit,exceed_abs_p90,comp_abs_t15,168,available,0.14428933903528407,0.1422320708985186,0.14428933903528407,0.1422320708985186,within_method_across_samples
uv_crit,exceed_abs_p90,pd_distance,168,available,0.16023908235665854,0.18000745343950328,0.16023908235665854,0.18000745343950328,within_method_across_samples
uv_crit,exceed_abs_p90,mt_distance,168,available,-0.09227137481685563,-0.10645380293109108,-0.09227137481685563,-0.10645380293109108,within_method_across_samples
uv_crit,comp_curve_l1,comp_abs_t5,168,available,0.16926106961292006,0.10398948608708129,0.16926106961292006,0.10398948608708129,within_method_across_samples
uv_crit,comp_curve_l1,comp_abs_t10,168,available,0.43113440462975766,0.44826626205084663,0.43113440462975766,0.44826626205084663,within_method_across_samples
uv_crit,comp_curve_l1,comp_abs_t15,168,available,0.44614668789010664,0.49121005382955174,0.44614668789010664,0.49121005382955174,within_method_across_samples
uv_crit,comp_curve_l1,pd_distance,168,available,0.35455651734272714,0.4491738243401604,0.35455651734272714,0.4491738243401604,within_method_across_samples
uv_crit,comp_curve_l1,mt_distance,168,available,0.0775487548352803,0.11695597842816434,0.0775487548352803,0.11695597842816434,within_method_across_samples
uv_crit,comp_abs_t5,comp_abs_t10,168,available,-0.17348369578391537,-0.12114536909743001,-0.17348369578391537,-0.12114536909743001,within_method_across_samples
uv_crit,comp_abs_t5,comp_abs_t15,168,available,-0.52948565721848,-0.5868517632076184,-0.52948565721848,-0.5868517632076184,within_method_across_samples
uv_crit,comp_abs_t5,pd_distance,168,available,-0.4456175183572169,-0.5794799431766734,-0.4456175183572169,-0.5794799431766734,within_method_across_samples
uv_crit,comp_abs_t5,mt_distance,168,available,-0.15367408227603607,-0.2096237665856663,-0.15367408227603607,-0.2096237665856663,within_method_across_samples
uv_crit,comp_abs_t10,comp_abs_t15,168,available,0.01905666027271108,0.02765953542533332,0.01905666027271108,0.02765953542533332,within_method_across_samples
uv_crit,comp_abs_t10,pd_distance,168,available,0.14845312434406566,0.17051618804923163,0.14845312434406566,0.17051618804923163,within_method_across_samples
uv_crit,comp_abs_t10,mt_distance,168,available,0.2999606047989585,0.27340954578743604,0.2999606047989585,0.27340954578743604,within_method_across_samples
uv_crit,comp_abs_t15,pd_distance,168,available,0.7704621969376209,0.7903363595912878,0.7704621969376209,0.7903363595912878,within_method_across_samples
uv_crit,comp_abs_t15,mt_distance,168,available,0.12728358945338844,0.16196553046451606,0.12728358945338844,0.16196553046451606,within_method_across_samples
uv_crit,pd_distance,mt_distance,168,available,0.3306438965223637,0.28784274224163675,0.3306438965223637,0.28784274224163675,within_method_across_samples
uv_e2,psnruv,speed_mae,168,available,-0.5598032328322103,-0.4420457478955867,0.5598032328322103,0.4420457478955867,within_method_across_samples
uv_e2,psnruv,speed_rmse,168,available,-0.501251801064397,-0.4326309342430945,0.501251801064397,0.4326309342430945,within_method_across_samples
uv_e2,psnruv,wpd_mae,168,available,-0.15363841550462137,-0.09932881489767717,0.15363841550462137,0.09932881489767717,within_method_across_samples
